gender,age,education_level,experience_years,screening_score,shortlisted,bias_flag
Male,34,Bachelors,15,49.06561,0,0
Male,22,Bachelors,6,58.521091,1,0
Female,43,Bachelors,8,65.802081,0,1
Female,25,High School,12,70.313028,0,1
Female,25,Bachelors,0,68.108405,0,1
Female,26,Masters,7,56.466721,0,1
Male,33,Bachelors,3,50.051655,1,0
Female,29,Bachelors,2,48.695933,0,1
Female,42,Bachelors,2,48.105982,0,1
Female,48,High School,12,64.335524,0,1
Female,49,High School,7,57.448682,0,1
Female,35,Bachelors,6,78.480593,0,1
Male,34,Bachelors,0,84.676383,0,0
Male,44,High School,15,86.736984,0,0
Female,27,Masters,5,48.980354,0,1
Male,45,PhD,6,74.908912,1,0
Female,40,Masters,11,57.065691,0,1
Female,22,Masters,8,61.764065,0,1
Male,27,Bachelors,10,61.943863,0,0
Male,26,PhD,9,82.261564,0,0
Female,37,High School,0,48.489303,0,1
Female,47,PhD,17,39.074765,1,1
Female,45,PhD,3,80.008789,0,1
Male,45,Masters,4,74.424967,1,0
Female,48,PhD,8,47.449003,0,1
Female,22,Bachelors,16,57.627772,1,1
Female,23,Bachelors,2,52.957728,1,1
Male,25,Bachelors,15,70.057414,1,0
Female,25,Bachelors,4,64.37902,0,1
Female,21,High School,15,66.141175,1,1
Male,28,Bachelors,2,72.53729,1,0
Female,32,PhD,19,56.285388,0,1
Female,44,High School,14,67.354604,0,1
Male,24,Masters,2,50.745418,1,0
Female,33,Masters,19,53.335926,0,1
Male,43,Masters,13,60.213372,0,0
Male,35,PhD,15,80.062578,1,0
Female,31,Bachelors,16,54.192906,0,1
Female,30,PhD,19,48.535778,0,1
Female,23,Masters,17,67.383945,0,1
Female,42,High School,17,52.345866,0,1
Male,34,Bachelors,13,66.492735,0,0
Female,36,Masters,17,81.713398,0,1
Male,30,Bachelors,14,77.871386,0,0
Female,49,Bachelors,14,59.462462,0,1
Female,30,Bachelors,5,58.874865,0,1
Female,32,High School,14,66.005624,0,1
Male,29,Bachelors,17,76.628704,0,0
Female,21,Masters,3,62.616363,0,1
Female,25,Bachelors,7,58.148789,0,1
Female,40,High School,14,45.510387,0,1
Female,28,High School,2,44.390906,0,1
Male,31,Bachelors,14,68.231777,1,0
Female,32,Masters,12,51.486725,0,1
Male,21,Bachelors,8,75.86079,0,0
Male,45,Bachelors,1,71.971797,1,0
Male,42,Bachelors,7,62.272256,1,0
Male,40,Bachelors,19,71.631985,0,0
Male,48,Masters,16,65.817672,0,0
Male,45,Masters,12,90.666014,0,0
Female,31,High School,0,62.088766,0,1
Male,25,Bachelors,1,54.39393,1,0
Male,35,High School,14,88.205151,1,0
Male,25,Bachelors,11,63.66851,1,0
Female,32,Bachelors,13,46.987798,0,1
Female,25,High School,1,79.02644,0,1
Male,37,Bachelors,17,73.458367,0,0
Female,37,Bachelors,6,64.186774,0,1
Male,44,Masters,5,77.330601,1,0
Male,32,PhD,13,67.940103,0,0
Female,44,High School,7,54.58374,1,1
Male,48,Masters,1,65.907425,1,0
Female,35,Bachelors,16,77.024026,1,1
Female,35,Bachelors,4,59.534187,1,1
Male,26,Masters,13,83.12915,1,0
Male,32,Masters,19,69.235549,0,0
Female,47,PhD,2,49.605156,0,1
Male,49,Bachelors,4,55.577835,0,0
Male,40,Bachelors,15,76.480032,0,0
Male,38,Masters,17,86.940981,1,0
Female,34,Bachelors,16,47.197239,1,1
Female,22,Bachelors,10,64.65802,0,1
Male,29,Bachelors,16,56.243843,0,0
Female,25,Bachelors,15,54.210925,0,1
Female,40,Bachelors,1,60.02089,1,1
Female,46,High School,3,42.672238,0,1
Female,49,Masters,6,56.235224,0,1
Female,21,High School,1,48.482519,0,1
Male,43,Bachelors,5,76.047592,0,0
Male,23,Bachelors,16,68.345994,1,0
Male,26,High School,6,79.39439,1,0
Female,25,High School,4,56.630053,0,1
Female,41,High School,4,43.870978,0,1
Male,47,Masters,19,55.130399,0,0
Female,25,Bachelors,15,38.382648,1,1
Male,21,PhD,18,76.329578,1,0
Male,37,Bachelors,8,95.577309,1,0
Male,39,Bachelors,4,74.352381,0,0
Female,34,Bachelors,7,78.101726,0,1
Female,32,Bachelors,8,67.920415,1,1
Male,30,Masters,4,64.81664,1,0
Male,40,Bachelors,9,82.65316,0,0
Male,41,Bachelors,1,65.214253,1,0
Male,38,Masters,8,65.412921,0,0
Female,44,Masters,10,56.882563,1,1
Female,47,Masters,3,55.429275,0,1
Male,31,Bachelors,1,76.613695,0,0
Male,22,Masters,5,63.291133,0,0
Female,45,Bachelors,13,68.97073,0,1
Female,38,Bachelors,0,65.374301,0,1
Male,49,Bachelors,17,73.429635,0,0
Male,45,Bachelors,6,89.396119,1,0
Male,27,High School,0,82.873926,1,0
Female,44,Bachelors,0,70.362083,0,1
Female,35,Masters,0,62.596508,0,1
Female,31,Bachelors,3,60.08537,0,1
Male,38,High School,3,75.238074,0,0
Male,43,High School,17,70.132414,0,0
Female,32,Masters,10,57.696585,0,1
Female,26,Bachelors,0,36.026991,0,1
Male,40,Bachelors,9,77.177654,0,0
Female,43,Masters,8,66.7141,0,1
Female,33,Masters,3,44.685169,1,1
Male,40,Bachelors,5,76.051686,0,0
Female,36,Bachelors,15,52.644106,1,1
Male,38,Masters,1,66.334708,1,0
Male,30,Bachelors,17,83.107605,0,0
Male,48,High School,9,60.093656,0,0
Male,43,Masters,16,60.078522,1,0
Male,28,Bachelors,12,88.048344,1,0
Male,38,Bachelors,17,68.544433,0,0
Male,41,Bachelors,12,82.465456,0,0
Female,21,High School,16,42.221948,0,1
Male,43,High School,4,54.813967,1,0
Male,28,Masters,10,60.870555,0,0
Female,49,High School,6,54.494719,1,1
Female,26,Bachelors,9,46.207869,0,1
Female,25,Bachelors,16,63.720977,0,1
Male,35,High School,14,74.345942,0,0
Female,42,PhD,17,48.98346,0,1
Male,35,Bachelors,18,61.814013,0,0
Male,22,Bachelors,1,63.132186,0,0
Male,21,Bachelors,3,58.351142,0,0
Male,43,Bachelors,2,41.044423,0,0
Female,43,High School,6,56.63535,0,1
Female,46,Masters,17,52.946149,0,1
Male,31,PhD,9,66.718542,1,0
Male,30,Bachelors,6,59.881965,1,0
Male,38,Bachelors,7,78.104975,1,0
Female,38,Masters,5,81.516207,0,1
Male,37,Masters,0,61.659151,0,0
Male,46,Bachelors,3,83.996961,0,0
Female,28,Bachelors,13,65.119262,0,1
Female,35,Bachelors,16,59.387677,1,1
Male,28,Masters,19,66.558773,0,0
Female,37,Masters,17,60.822479,0,1
Female,32,High School,10,70.198734,0,1
Male,47,Bachelors,13,58.61919,1,0
Female,28,Masters,8,56.60075,1,1
Male,45,Masters,14,82.490002,0,0
Female,34,PhD,11,66.510922,0,1
Male,24,Masters,9,58.774141,1,0
Male,21,Bachelors,18,68.174081,1,0
Male,21,Bachelors,18,77.280078,0,0
Female,39,Bachelors,5,66.528791,0,1
Male,36,High School,19,79.751345,1,0
Female,34,Bachelors,5,65.140457,1,1
Male,41,Masters,7,75.519531,0,0
Male,36,High School,0,73.427964,0,0
Female,25,Masters,16,76.939381,0,1
Male,29,Bachelors,16,65.781888,1,0
Male,46,PhD,14,70.481912,1,0
Female,48,High School,6,47.281248,0,1
Male,22,Bachelors,18,57.879782,0,0
Male,38,Bachelors,2,73.249567,1,0
Male,26,Bachelors,10,62.758137,0,0
Male,29,Masters,19,69.423144,1,0
Female,21,Masters,18,74.468185,0,1
Female,29,High School,8,76.992641,0,1
Male,45,Bachelors,9,92.240448,0,0
Female,36,Bachelors,1,77.871884,0,1
Male,33,Bachelors,0,94.030182,0,0
Female,29,Masters,15,62.159482,1,1
Male,41,Masters,17,60.969794,1,0
Male,33,Bachelors,16,59.996074,1,0
Male,29,Masters,5,83.963306,0,0
Male,31,Bachelors,13,70.516265,0,0
Male,24,Masters,14,71.261315,1,0
Male,22,Bachelors,13,64.509289,1,0
Female,49,Masters,2,57.271683,1,1
Male,26,Masters,18,73.837593,1,0
Female,34,Bachelors,11,46.516605,0,1
Male,24,Masters,1,72.571385,0,0
Female,26,High School,2,72.873349,1,1
Female,39,Bachelors,17,40.175549,0,1
Female,26,Bachelors,0,46.077855,1,1
Male,22,PhD,19,76.7561,1,0
Male,38,Masters,5,83.639679,0,0
Female,33,Masters,4,51.181235,0,1
Male,29,Masters,0,50.017594,0,0
Female,43,Bachelors,18,74.073617,0,1
Male,39,Masters,0,61.889348,1,0
Female,33,Bachelors,15,56.163684,1,1
Female,31,Bachelors,11,60.313651,0,1
Male,21,High School,7,63.335666,0,0
Female,44,Masters,15,47.555211,1,1
Male,42,Masters,0,61.421998,1,0
Female,27,Bachelors,3,74.663279,0,1
Female,45,High School,9,69.075867,1,1
Male,41,Masters,10,75.745173,0,0
Male,35,High School,16,48.135668,0,0
Male,21,Masters,6,75.781919,0,0
Female,32,PhD,11,64.984445,0,1
Male,46,Bachelors,6,57.218669,0,0
Female,27,Bachelors,11,64.086097,0,1
Female,35,Masters,14,67.852043,0,1
Male,41,Masters,1,75.693659,0,0
Male,39,Bachelors,13,63.198306,0,0
Female,48,PhD,12,58.782221,0,1
Female,49,High School,3,66.758237,1,1
Male,45,Bachelors,13,70.59452,1,0
Male,21,Masters,13,82.542849,0,0
Male,37,Masters,15,73.956816,0,0
Male,37,High School,6,77.529227,1,0
Male,23,Masters,18,78.214006,0,0
Female,32,Bachelors,1,45.895047,0,1
Female,26,Bachelors,9,61.832675,0,1
Female,46,High School,17,55.720705,0,1
Female,31,Masters,16,72.370338,0,1
Male,23,High School,4,74.63233,0,0
Male,28,Bachelors,11,68.117875,0,0
Male,34,Bachelors,5,57.181486,1,0
Female,34,Masters,8,43.218953,1,1
Female,30,Bachelors,19,64.765607,0,1
Male,22,Masters,0,62.827873,1,0
Male,34,Bachelors,14,76.661265,0,0
Female,29,Bachelors,5,44.85569,1,1
Female,23,Bachelors,18,77.224355,0,1
Male,41,Masters,17,76.638641,0,0
Male,46,Masters,5,70.991851,0,0
Female,28,High School,12,74.935328,0,1
Male,36,Bachelors,0,79.484179,1,0
Male,22,High School,12,65.249968,0,0
Male,26,Bachelors,6,70.775763,0,0
Female,48,Bachelors,14,37.880988,1,1
Female,41,Bachelors,11,69.141691,0,1
Female,49,Bachelors,0,53.267448,1,1
Female,46,Bachelors,14,39.978528,0,1
Female,45,Bachelors,3,48.467342,0,1
Female,32,Masters,12,65.497526,0,1
Female,25,Bachelors,4,76.796452,0,1
Male,22,High School,1,70.204255,0,0
Male,36,Masters,0,60.179487,0,0
Male,25,Bachelors,15,55.792503,1,0
Male,35,Bachelors,5,84.146146,0,0
Male,32,Bachelors,15,74.494678,0,0
Male,24,Bachelors,13,66.698604,0,0
Male,35,High School,2,64.317282,1,0
Female,31,Bachelors,14,62.938961,0,1
Female,36,Masters,2,68.370258,0,1
Male,43,Bachelors,1,61.034156,1,0
Male,26,Bachelors,0,58.576275,1,0
Female,34,Bachelors,8,45.2617,0,1
Male,38,High School,8,65.317754,0,0
Male,32,Bachelors,6,63.102145,1,0
Female,47,Masters,2,77.921961,0,1
Male,31,High School,17,64.962194,0,0
Female,33,Bachelors,10,44.156477,0,1
Male,41,Bachelors,6,58.065026,0,0
Female,43,Bachelors,8,56.994077,0,1
Female,31,PhD,0,37.82097,1,1
Female,43,High School,13,60.956013,0,1
Male,36,Bachelors,19,56.637905,0,0
Female,35,High School,5,70.262978,0,1
Male,41,PhD,6,71.165623,0,0
Male,48,High School,9,91.210236,0,0
Male,35,Bachelors,6,67.717994,0,0
Male,45,Masters,1,38.682562,0,0
Female,24,Masters,3,70.760997,0,1
Female,31,Bachelors,16,63.880645,0,1
Male,39,Bachelors,0,76.569079,0,0
Male,35,Bachelors,9,59.974164,1,0
Female,24,Bachelors,18,57.795128,1,1
Male,41,Bachelors,14,71.864609,1,0
Female,33,Bachelors,9,55.447302,0,1
Male,42,Bachelors,18,52.656372,0,0
Male,39,Bachelors,11,97.68692,1,0
Female,22,Bachelors,15,67.631046,0,1
Male,34,PhD,8,74.20584,0,0
Female,49,Bachelors,14,71.373508,0,1
Male,24,High School,16,76.441922,0,0
Male,36,High School,13,63.227971,0,0
Male,41,PhD,17,82.497828,1,0
Female,40,Bachelors,1,67.016274,0,1
Male,34,High School,3,63.607142,1,0
Male,47,Bachelors,17,77.900147,0,0
Male,49,Bachelors,6,67.5943,0,0
Male,35,Bachelors,12,72.084782,1,0
Female,48,Bachelors,14,62.589557,1,1
Female,23,High School,0,75.412299,0,1
Male,28,PhD,10,63.54004,0,0
Female,36,Bachelors,9,63.963843,1,1
Male,30,Bachelors,4,90.157262,0,0
Male,24,Masters,15,68.239525,0,0
Male,38,Bachelors,10,71.965568,1,0
Female,22,Bachelors,5,76.439836,0,1
Female,37,Bachelors,8,63.033192,0,1
Female,33,Bachelors,12,44.526257,0,1
Female,24,Masters,7,50.324428,0,1
Female,46,Masters,13,67.231505,0,1
Female,45,High School,0,65.101322,0,1
Female,31,High School,16,60.843608,1,1
Female,27,Masters,4,81.492128,0,1
Female,32,Masters,1,52.323192,0,1
Male,30,Masters,8,69.255862,0,0
Female,27,Bachelors,3,41.90249,0,1
Female,33,Bachelors,16,67.76023,0,1
Female,27,Masters,16,48.094213,0,1
Female,44,Bachelors,17,68.382397,0,1
Female,37,Bachelors,15,68.303723,0,1
Female,30,High School,7,83.633827,1,1
Female,49,Bachelors,10,63.609986,0,1
Female,30,Bachelors,17,54.330747,1,1
Female,44,Bachelors,9,65.560528,0,1
Female,24,PhD,12,48.941908,0,1
Female,40,Bachelors,16,60.256378,0,1
Male,24,Masters,17,67.990975,0,0
Male,42,High School,9,69.296616,1,0
Female,27,Bachelors,15,47.317536,0,1
Female,42,PhD,19,60.650144,0,1
Male,21,High School,4,78.2423,0,0
Female,32,High School,12,41.798541,0,1
Male,44,Bachelors,17,63.114073,1,0
Male,33,High School,16,71.680472,0,0
Male,30,Masters,8,46.526834,0,0
Male,35,Masters,13,87.402644,0,0
Male,47,Bachelors,16,62.888892,0,0
Female,33,Bachelors,3,50.109667,0,1
Male,43,Bachelors,17,67.926577,0,0
Female,42,Masters,19,57.777357,0,1
Female,42,High School,14,49.238888,1,1
Male,41,Bachelors,10,79.804137,0,0
Male,42,Bachelors,11,73.997065,0,0
Female,48,Bachelors,8,53.356269,1,1
Male,29,Bachelors,12,64.775949,0,0
Male,46,Masters,14,54.832303,1,0
Female,29,High School,14,49.308389,0,1
Female,35,High School,4,63.617203,0,1
Male,30,Masters,18,61.731354,0,0
Female,44,Masters,19,75.179525,0,1
Male,46,High School,13,70.709232,1,0
Male,45,Bachelors,16,56.471766,0,0
Male,49,Bachelors,17,58.566527,0,0
Female,30,Bachelors,2,66.60604,0,1
Female,28,Bachelors,1,60.332363,0,1
Female,44,High School,0,68.355164,0,1
Female,36,Bachelors,9,56.049775,0,1
Female,37,Masters,18,50.578193,0,1
Male,46,Bachelors,16,81.194474,1,0
Male,47,Bachelors,11,61.414226,0,0
Male,25,High School,0,74.890541,1,0
Male,24,PhD,11,67.882164,1,0
Female,38,Masters,16,65.734521,0,1
Male,44,Masters,2,88.18484,1,0
Female,39,Masters,10,53.048251,0,1
Male,24,Masters,16,64.528579,0,0
Female,48,Bachelors,2,65.845925,1,1
Female,27,Bachelors,7,48.691047,0,1
Male,30,Bachelors,19,86.164655,0,0
Male,45,Masters,3,84.460226,1,0
Male,38,Masters,6,60.008804,0,0
Male,39,Bachelors,13,54.168752,0,0
Female,24,High School,13,48.753786,0,1
Male,30,Bachelors,3,58.546304,1,0
Male,21,Masters,15,78.017606,1,0
Female,43,Bachelors,0,77.15345,0,1
Male,38,Bachelors,16,77.901262,1,0
Male,25,Bachelors,9,67.638078,0,0
Male,35,Bachelors,15,73.424985,0,0
Male,37,Masters,15,61.30222,1,0
Male,23,Bachelors,7,80.97208,1,0
Female,32,Masters,6,61.131955,0,1
Male,22,Bachelors,5,77.731978,0,0
Male,21,Bachelors,15,62.724643,1,0
Male,43,Bachelors,19,68.314028,1,0
Male,41,Masters,15,77.250731,1,0
Male,37,Bachelors,6,84.435129,0,0
Female,42,Bachelors,8,51.041596,0,1
Male,36,Bachelors,13,77.804519,1,0
Female,25,Masters,10,48.880976,0,1
Female,35,High School,13,77.192117,0,1
Male,23,Masters,6,65.851753,1,0
Male,48,Bachelors,0,76.435052,1,0
Male,27,Bachelors,12,71.656096,1,0
Male,31,High School,19,96.053031,1,0
Female,30,Bachelors,2,60.966426,0,1
Male,29,Bachelors,19,64.84944,0,0
Male,34,High School,3,76.395065,1,0
Male,33,Bachelors,10,76.172409,1,0
Male,49,Masters,1,68.425301,1,0
Male,45,High School,13,59.052341,0,0
Male,45,Masters,11,64.720011,0,0
Female,22,Bachelors,16,66.201065,0,1
Female,23,Bachelors,11,38.856916,0,1
Male,27,Bachelors,11,67.519541,1,0
Male,41,High School,0,79.948639,0,0
Male,38,High School,12,69.065038,0,0
Female,23,High School,13,78.639217,0,1
Male,30,High School,1,52.553498,0,0
Female,42,Bachelors,11,50.902233,0,1
Male,49,Masters,15,46.853662,0,0
Male,27,Masters,3,89.936906,0,0
Male,29,Bachelors,7,60.550128,0,0
Male,37,High School,1,50.130787,0,0
Female,31,Bachelors,9,53.177542,0,1
Female,27,Bachelors,8,47.296952,0,1
Male,44,Bachelors,14,63.952151,1,0
Male,48,Bachelors,12,70.412293,0,0
Female,34,Bachelors,16,64.324905,0,1
Female,39,Bachelors,15,56.616263,0,1
Female,24,Bachelors,1,60.88105,1,1
Female,46,Masters,19,52.153844,0,1
Male,26,Masters,19,54.883018,1,0
Female,30,Bachelors,13,39.825828,1,1
Male,27,Masters,2,66.355142,0,0
Female,33,PhD,11,60.697421,0,1
Female,34,Bachelors,7,56.932509,1,1
Female,24,Bachelors,1,39.877291,0,1
Female,28,Bachelors,3,60.892155,0,1
Female,25,Masters,13,73.659138,0,1
Male,21,Masters,15,68.853535,0,0
Male,24,High School,18,64.204694,1,0
Female,23,Bachelors,1,58.274079,0,1
Female,29,Bachelors,11,45.843113,0,1
Male,28,Bachelors,13,58.311009,1,0
Female,21,High School,5,63.2027,1,1
Female,47,Masters,12,68.537587,0,1
Male,26,Bachelors,3,68.529016,1,0
Female,29,Masters,17,37.002428,0,1
Female,27,Masters,11,63.112592,0,1
Male,24,Masters,19,90.673822,1,0
Male,33,Bachelors,18,67.561018,0,0
Male,37,Bachelors,7,68.221542,0,0
Female,48,High School,6,52.469573,0,1
Male,22,Bachelors,15,74.81354,1,0
Male,48,High School,18,63.290165,0,0
Male,25,Bachelors,5,80.215019,0,0
Male,32,Bachelors,19,63.424195,1,0
Male,47,High School,10,73.417915,0,0
Male,41,High School,4,69.536558,1,0
Female,28,High School,15,77.37842,0,1
Female,26,Masters,6,61.56397,0,1
Male,28,Masters,4,83.870073,0,0
Male,38,Bachelors,10,71.086235,0,0
Male,23,High School,14,68.292597,1,0
Female,42,High School,2,57.896235,1,1
Female,32,High School,4,50.061429,0,1
Female,49,High School,4,66.038903,0,1
Female,46,Masters,8,54.278188,0,1
Female,23,Bachelors,14,63.037362,0,1
Female,42,Bachelors,2,68.448494,0,1
Female,26,High School,5,74.295983,0,1
Female,22,Bachelors,16,61.275137,0,1
Female,43,Bachelors,7,67.987221,1,1
Male,32,Bachelors,10,77.418878,0,0
Male,22,Bachelors,5,66.176229,0,0
Male,26,High School,7,91.078035,0,0
Male,37,Bachelors,9,64.237578,1,0
Female,23,Bachelors,2,57.484994,0,1
Female,22,Bachelors,13,74.451665,0,1
Male,43,PhD,13,84.294582,0,0
Female,40,Bachelors,9,59.059267,0,1
Male,28,Bachelors,11,79.904167,0,0
Female,42,Bachelors,5,55.058359,0,1
Male,32,Bachelors,11,65.113211,1,0
Female,46,Bachelors,13,47.492853,1,1
Female,24,Bachelors,1,65.506293,0,1
Male,25,Masters,8,78.292209,1,0
Female,33,High School,9,51.146925,0,1
Male,49,Bachelors,16,72.681,1,0
Male,35,Bachelors,16,96.509884,1,0
Male,45,Masters,2,81.466823,0,0
Male,43,Bachelors,18,60.985161,1,0
Female,36,Bachelors,0,66.318499,0,1
Female,30,High School,11,52.148941,0,1
Female,45,Bachelors,6,30.0,1,1
Male,43,High School,3,69.795879,1,0
Female,36,Bachelors,9,74.679317,0,1
Male,32,High School,12,83.97448,0,0
Female,37,Bachelors,1,64.222885,0,1
Female,36,Bachelors,9,53.827891,0,1
Female,32,Bachelors,3,60.984301,1,1
Male,28,Masters,17,67.308398,1,0
Female,40,Bachelors,4,53.907735,0,1
Female,23,Bachelors,18,70.647512,1,1
Male,36,Bachelors,1,64.739642,1,0
Female,33,High School,11,69.47196,1,1
Male,43,Masters,16,64.07814,0,0
Female,48,High School,9,81.144046,0,1
Male,39,Bachelors,1,53.593656,0,0
Male,28,Bachelors,5,60.432307,1,0
Female,42,Bachelors,7,59.991143,0,1
Male,25,Bachelors,18,50.159561,1,0
Male,40,Bachelors,10,44.290139,0,0
Male,28,High School,11,50.245924,1,0
Male,44,Masters,8,67.079108,0,0
Male,32,Bachelors,1,67.3329,0,0
Male,21,Masters,7,73.329995,0,0
Female,45,Masters,10,59.256707,0,1
Male,41,Masters,3,72.995165,0,0
Male,40,Bachelors,9,65.497836,1,0
Female,26,Bachelors,19,68.379883,0,1
Female,42,Masters,15,67.031684,0,1
Female,38,Bachelors,7,57.900111,0,1
Female,28,High School,3,63.484866,0,1
Female,27,Masters,9,59.00226,0,1
Female,21,Masters,11,44.702737,0,1
Female,41,Bachelors,13,65.664236,0,1
Male,36,High School,15,60.93184,0,0
Male,32,Bachelors,17,78.93824,1,0
Female,26,Masters,11,62.396498,0,1
Male,40,Masters,17,69.154777,0,0
Male,22,Bachelors,6,51.230066,0,0
Male,49,High School,19,85.397456,1,0
Female,34,Masters,6,54.363515,0,1
Female,24,Bachelors,8,67.311717,0,1
Male,21,Bachelors,0,68.860259,0,0
Female,43,PhD,5,58.131913,0,1
Male,38,High School,5,71.928078,0,0
Male,33,Bachelors,11,70.265723,0,0
Male,22,High School,11,67.330072,1,0
Male,29,Bachelors,9,69.446854,0,0
Female,41,Masters,5,66.025435,0,1
Female,22,Bachelors,16,65.964581,0,1
Female,47,PhD,18,60.76203,0,1
Male,45,Bachelors,17,76.20937,1,0
Female,29,Bachelors,5,56.697239,0,1
Male,21,Bachelors,18,92.248864,0,0
Female,31,Bachelors,9,76.323671,0,1
Male,23,Bachelors,7,77.62443,1,0
Male,40,High School,5,50.584195,0,0
Male,43,Bachelors,6,76.060191,1,0
Female,46,Bachelors,0,57.909814,0,1
Female,24,Masters,17,49.44852,0,1
Female,38,Bachelors,19,57.141037,0,1
Female,43,Masters,11,51.136033,1,1
Male,26,High School,15,75.068031,0,0
Female,23,Bachelors,9,75.139437,0,1
Female,42,Bachelors,9,66.117919,0,1
Male,31,Bachelors,13,97.625252,0,0
Male,35,High School,19,54.463876,1,0
Male,42,Masters,9,64.939653,0,0
Female,48,Masters,9,52.333875,1,1
Male,25,Bachelors,10,82.293683,0,0
Male,40,High School,1,67.794496,1,0
Male,30,Masters,19,71.895162,0,0
Female,32,Bachelors,7,63.540393,0,1
Male,35,Masters,6,55.452111,0,0
Female,37,Masters,7,52.019108,1,1
Female,30,Masters,0,71.482105,1,1
Male,26,Bachelors,1,64.519121,0,0
Male,38,High School,17,52.86357,0,0
Female,33,Bachelors,14,47.735899,0,1
Male,23,Bachelors,0,67.137319,0,0
Male,44,Masters,4,71.667605,1,0
Female,30,High School,1,55.766632,0,1
Female,34,High School,19,55.491354,0,1
Male,26,Masters,2,79.393134,1,0
Female,23,Masters,18,59.048125,0,1
Male,36,Masters,17,72.094014,1,0
Male,27,Masters,17,64.39044,0,0
Male,40,Bachelors,13,85.089403,0,0
Female,34,Bachelors,7,53.246481,0,1
Male,29,Masters,11,70.746929,0,0
Male,35,Bachelors,9,80.349994,1,0
Male,41,Bachelors,19,72.800423,1,0
Female,23,High School,16,60.061339,0,1
Female,22,Bachelors,10,41.156319,1,1
Female,47,Masters,1,67.550254,0,1
Female,22,Bachelors,3,60.333037,0,1
Female,23,Bachelors,0,64.508513,0,1
Male,38,Bachelors,14,71.83213,0,0
Female,34,Bachelors,12,52.698896,0,1
Female,40,Bachelors,7,68.72959,0,1
Female,38,Bachelors,3,61.206058,1,1
Male,30,Masters,9,57.106135,0,0
Female,45,Bachelors,18,70.600346,0,1
Female,22,High School,17,47.475105,0,1
Male,45,High School,4,79.009292,1,0
Female,49,Bachelors,18,75.354696,1,1
Male,42,Bachelors,15,58.937046,0,0
Male,21,Masters,0,68.772382,0,0
Male,24,Bachelors,11,67.840518,1,0
Male,34,Masters,1,68.290288,0,0
Male,21,Bachelors,7,88.302384,0,0
Female,34,Bachelors,17,46.772714,0,1
Male,36,Bachelors,15,66.93433,0,0
Male,42,Masters,4,85.033225,0,0
Female,34,Bachelors,12,53.399271,1,1
Male,49,Bachelors,18,60.642203,0,0
Female,40,Bachelors,2,61.560082,1,1
Female,23,High School,7,66.863725,0,1
Female,23,Bachelors,11,57.428558,1,1
Male,29,Bachelors,1,75.543684,0,0
Male,26,Bachelors,10,56.233849,0,0
Male,45,Bachelors,11,56.789729,0,0
Female,33,Bachelors,17,54.914663,0,1
Male,41,Masters,12,75.900174,0,0
Male,22,Masters,4,77.61498,1,0
Male,28,Masters,11,58.17984,0,0
Female,41,High School,1,66.048503,0,1
Female,22,High School,4,62.210247,1,1
Male,24,Bachelors,6,61.207953,0,0
Male,45,Bachelors,11,56.658116,1,0
Male,35,Bachelors,15,72.298232,0,0
Male,24,High School,7,82.895632,0,0
Female,33,Bachelors,8,60.739765,0,1
Female,48,High School,14,50.387087,0,1
Female,32,Masters,4,43.19935,0,1
Female,48,Bachelors,12,75.362433,1,1
Male,33,Bachelors,4,80.418506,0,0
Male,34,High School,10,73.020768,0,0
Male,40,Bachelors,9,84.77994,1,0
Female,38,Bachelors,19,62.970503,0,1
Male,49,Masters,12,64.68963,0,0
Female,48,Masters,8,65.586338,1,1
Female,26,Bachelors,13,52.98417,0,1
Male,49,Masters,17,60.043522,0,0
Male,31,PhD,14,77.716071,0,0
Male,22,Masters,9,78.557588,0,0
Female,48,Masters,6,43.919454,1,1
Male,43,Bachelors,7,57.632023,1,0
Female,39,Bachelors,2,53.987948,0,1
Male,39,High School,14,62.886952,0,0
Female,25,High School,15,62.690274,0,1
Female,39,PhD,3,57.745471,1,1
Male,22,Bachelors,5,81.649063,0,0
Female,30,Masters,0,62.181924,0,1
Female,45,Masters,3,55.03271,1,1
Male,22,Masters,10,51.088711,1,0
Female,31,PhD,11,60.571921,0,1
Male,38,Bachelors,4,52.896719,0,0
Female,49,High School,15,51.909401,0,1
Male,44,Bachelors,12,62.782732,0,0
Male,35,High School,12,64.915729,1,0
Female,29,High School,16,44.367021,0,1
Female,43,Bachelors,6,52.157277,1,1
Female,39,Masters,7,72.693564,0,1
Female,29,Bachelors,12,71.728829,0,1
Female,23,Bachelors,15,75.146504,0,1
Male,41,Bachelors,3,70.101465,0,0
Female,29,Bachelors,7,60.836688,0,1
Male,48,High School,15,81.606114,0,0
Male,34,Masters,9,55.29339,0,0
Female,39,Bachelors,11,66.631615,0,1
Male,27,Masters,11,83.023447,0,0
Male,36,High School,4,61.110397,0,0
Male,36,Masters,15,83.826391,1,0
Male,48,Bachelors,0,90.577161,0,0
Female,21,Bachelors,8,67.641886,1,1
Male,24,Bachelors,11,75.945044,0,0
Female,24,Masters,4,44.883148,0,1
Female,27,Bachelors,19,69.05739,1,1
Male,28,Bachelors,2,59.744093,0,0
Female,37,PhD,4,64.274047,0,1
Female,25,Masters,1,66.100256,0,1
Female,27,Bachelors,13,30.0,0,1
Male,48,Masters,1,74.058034,1,0
Female,40,Bachelors,12,86.739001,0,1
Female,49,Bachelors,6,40.117348,0,1
Female,40,Bachelors,9,60.341678,0,1
